RecordNo,caseid,age,gender,region_grouped_IT,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5_1,Q5_2,Q5a,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,S3,S4,S5_1,S5_2,S5_3,S5_6,S5_8,S5_22,S5_9,S5_10,S5_11,S5_23,S5_12,S5_13,S5_14,S5_17,S5_18,S5_19,S5_20,S5_29,S5_30,S5_31,S5_33,S5_26,S5_99,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,segment,age_yks,S3_yks,S4_yks,Q3_yks,Q4_yks,weight
863,7409212838,72,Male,North east,I watch basketball occasionally,No,No,Yes,No,No,No,Somewhat unlikely,Very unlikely,I prefer a team that represents Milan as a city rather than one football club,No change, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,35.000€ to 39.999€ per year,Bolzano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Inter Milan Fan,55+,"25-49,999€",Rest of Italy,Overall Interested,Watcher,1.023529412
864,7409927302,30,Male,North west,I generally do not follow basketball, , , , , , ,Somewhat likely,Very unlikely,I support a different football club and therefore would be less interested,No change, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,40.000€ to 44.999€ per year,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Other Serie A Fan,18-34,"25-49,999€",Milan,Unaware, ,1.004081633
865,7409441466,66,Female,Islands,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,20.000€ to 24.999€ per year,Catania,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,AC Milan Fan,55+,"0-24,999€",Rest of Italy,Unaware, ,0.920240964
866,7409401734,59,Female,Islands,I watch basketball occasionally,No,No,No,No,No,Yes,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,Yes,No,No,No,No,No,Watch games via free TV or streaming,Because it is Italy's team in the league,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,10.000€ to 14.999€ per year,Catania,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,No,No,No,No,No,No,No,No,Yes,No,AC Milan Fan,55+,"0-24,999€",Rest of Italy,Overall Interested,Non Watcher,0.920240964
867,7409927720,42,Female,North west,I watch basketball occasionally,Yes,No,Yes,No,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,Yes,No,No,No,No,No,Watch games via free TV or streaming,"Because it represents Milan, regardless of club",Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,35.000€ to 39.999€ per year,Milano,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Other Serie A Fan,35-54,"25-49,999€",Milan,Overall Interested,Watcher,0.993939394
868,7409513696,38,Male,South,Basketball is one of my top sports,Yes,Yes,Yes,No,No,No,Somewhat likely,Somewhat likely, ,Moderately increase my interest, ,No,Yes,No,Yes,No,No,Watch games via paid TV or streaming service,Because it is Italy's team in the league,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,5.000€ to 9.999€ per year,Bari,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Inter Milan Fan,35-54,"0-24,999€",Rest of Italy,Overall Interested,Watcher,1.023529412
869,7409441412,55,Female,North west,I watch basketball occasionally,Yes,No,No,No,No,No,Somewhat likely,Somewhat unlikely,I support a different football club and therefore would be less interested,Moderately increase my interest,Because it gives me a reason to care about basketball,Yes,No,No,No,No,No,Watch games via free TV or streaming,Because it is Italy's team in the league,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,25.000€ to 29.999€ per year,Asti,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Inter Milan Fan,55+,"25-49,999€",Rest of Italy,Overall Interested,Watcher,0.966666667
870,7409678520,64,Female,Centre,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,50.000€ to 59.999€ per year,Perugia,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,No,No,No,No,No,No,No,No,Yes,No,AC Milan Fan,55+,"50,000€ +",Rest of Italy,Unaware, ,0.920240964
871,7400602978,31,Male,Centre,I watch basketball occasionally,Yes,No,No,No,No,No,Somewhat likely,Somewhat likely, ,Moderately increase my interest,Because I trust and follow AC Milan,Yes,No,No,No,No,No,Watch games via free TV or streaming,Because it is affiliated with AC Milan,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,15.000€ to 19.999€ per year,Massa-Carrara,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,AC Milan Fan,18-34,"0-24,999€",Rest of Italy,Overall Interested,Watcher,1.056101695
872,7409952132,37,Female,North west,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,Slightly increase my interest,Because I trust and follow AC Milan,No,No,No,Yes,No,No,Attend a game in person,Because it is affiliated with AC Milan,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,70.000€ to 99.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,No,No,No,No,No,No,No,No,Yes,No,AC Milan Fan,35-54,"50,000€ +",Milan,Unaware, ,0.920240964
873,7409951500,30,Male,North west,I watch basketball occasionally,Yes,No,No,No,No,No,Somewhat likely,Somewhat likely, ,Moderately increase my interest,Because it feels culturally relevant to Milan,Yes,No,No,No,No,No,Watch games via free TV or streaming,Because it is affiliated with AC Milan,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,45.000€ to 49.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,No,Yes,No,No,No,No,No,No,No,No,AC Milan Fan,18-34,"50,000€ +",Milan,Overall Interested,Watcher,1.056101695
874,7409950590,45,Female,North west,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to answer,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,No,No,No,No,No,No,No,No,Yes,No,Other Serie A Fan,35-54, ,Milan,Unaware, ,0.993939394
875,7409630088,67,Female,South,I watch basketball occasionally,No,No,No,No,No,Yes,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,20.000€ to 24.999€ per year,Bari,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,No,No,No,No,No,No,No,No,Yes,No,Inter Milan Fan,55+,"0-24,999€",Rest of Italy,Overall Interested,Non Watcher,0.966666667
876,7409474852,71,Male,North east,I watch basketball occasionally,No,No,Yes,No,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,Slightly increase my interest,Other/not sure,No,No,Yes,No,No,No,Follow highlights and social media,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,10.000€ to 14.999€ per year,Venezia,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Inter Milan Fan,55+,"0-24,999€",Rest of Italy,Overall Interested,Watcher,1.023529412
877,7409349908,68,Male,North east,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,25.000€ to 29.999€ per year,Pordenone,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,No,No,No,No,No,No,No,No,Yes,No,AC Milan Fan,55+,"25-49,999€",Rest of Italy,Unaware, ,1.056101695
878,7409481626,72,Female,South,I watch basketball occasionally,No,No,Yes,No,No,No,Somewhat unlikely,Neither likely nor unlikely, ,Slightly increase my interest,Other/not sure,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,30.000€ to 34.999€ per year,Cosenza,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,No,No,Yes,No,No,No,Yes,No,No,No,No,No,AC Milan Fan,55+,"25-49,999€",Rest of Italy,Overall Interested,Watcher,0.920240964
879,7409146378,57,Male,North west,I watch basketball occasionally,No,Yes,No,No,No,No,Neither likely nor unlikely,Somewhat unlikely,I don't like football branding in basketball,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,30.000€ to 34.999€ per year,Monza e Brianza,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Inter Milan Fan,55+,"25-49,999€",Rest of Italy,Overall Interested,Watcher,1.023529412
880,7409679618,45,Male,South,I watch basketball occasionally,No,No,Yes,No,No,No,Somewhat likely,Somewhat likely, ,Slightly increase my interest,Because it feels culturally relevant to Milan,No,Yes,No,No,No,No,Watch games via paid TV or streaming service,Because it is affiliated with AC Milan,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,45.000€ to 49.999€ per year,Bari,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Inter Milan Fan,35-54,"50,000€ +",Rest of Italy,Overall Interested,Watcher,1.023529412
881,7403304698,66,Male,Islands,I watch basketball occasionally,No,Yes,No,Yes,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,Moderately increase my interest,Other/not sure,Yes,No,No,Yes,No,No,Watch games via free TV or streaming,Because it is Italy's team in the league,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,5.000€ to 9.999€ per year,Palermo,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,Yes,No,No,No,No,No,No,No,No,No,No,Inter Milan Fan,55+,"0-24,999€",Rest of Italy,Overall Interested,Watcher,1.023529412
882,7409437604,54,Male,South,Basketball is one of my top sports,Yes,Yes,Yes,Yes,No,No,Neither likely nor unlikely,Somewhat unlikely,I don't like football branding in basketball,No change, ,Yes,No,No,No,No,No,Watch games via free TV or streaming,I would not support a Milan NBA team,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,20.000€ to 24.999€ per year,Barletta-Andria-Trani,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Inter Milan Fan,35-54,"0-24,999€",Rest of Italy,Overall Interested,Watcher,1.023529412
883,7409513380,65,Male,Unknown,I watch basketball occasionally,No,No,No,No,No,Yes,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,Yes,No,No,No,No,No,Watch games via free TV or streaming,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,50.000€ to 59.999€ per year,Vicenza,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Inter Milan Fan,55+,"50,000€ +",Rest of Italy,Overall Interested,Non Watcher,1.023529412
884,7409678488,59,Male,Islands,I watch basketball occasionally,Yes,Yes,Yes,Yes,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,Significantly increase my interest,Because it gives me a reason to care about basketball,Yes,No,No,No,Yes,No,Watch games via free TV or streaming,Because it is Italy's team in the league,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,40.000€ to 44.999€ per year,Trapani,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,No,No,No,Yes,No,No,No,No,No,Yes,No,No,AC Milan Fan,55+,"25-49,999€",Rest of Italy,Overall Interested,Watcher,1.056101695
885,7409679540,49,Female,North west,I watch basketball occasionally,Yes,No,No,No,No,No,Somewhat likely,Somewhat likely, ,Moderately increase my interest,Because I trust and follow AC Milan,No,No,Yes,Yes,No,No,Attend a game in person,Because it is affiliated with AC Milan,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,20.000€ to 24.999€ per year,Savona,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,AC Milan Fan,35-54,"0-24,999€",Rest of Italy,Overall Interested,Watcher,0.920240964
886,7409734362,72,Female,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,40.000€ to 44.999€ per year,Savona,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,No,No,No,No,No,No,No,No,Yes,No,Inter Milan Fan,55+,"25-49,999€",Rest of Italy,Unaware, ,0.966666667
887,7409847114,59,Male,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,Because it is affiliated with AC Milan,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,30.000€ to 34.999€ per year,Savona,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Inter Milan Fan,55+,"25-49,999€",Rest of Italy,Unaware, ,1.023529412
888,7409588014,31,Female,North west,Basketball is one of my top sports,No,No,No,No,Yes,No,Neither likely nor unlikely,Very unlikely,I support a different football club and therefore would be less interested,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,10.000€ to 14.999€ per year,Torino,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Inter Milan Fan,18-34,"0-24,999€",Rest of Italy,Overall Interested,Watcher,0.966666667
889,7409401748,63,Female,North east,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Very likely, ,Moderately increase my interest,Because it gives me a reason to care about basketball,No,Yes,No,No,No,No,Watch games via paid TV or streaming service,Because it is Italy's team in the league,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,5.000€ to 9.999€ per year,Bologna,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,No,No,No,No,No,No,Yes,No,Yes,No,AC Milan Fan,55+,"0-24,999€",Rest of Italy,Unaware, ,0.920240964
890,7409974490,59,Male,North west,"I follow basketball regularly, but it's secondary",No,Yes,Yes,No,No,No,Very likely,Somewhat unlikely,I support a different football club and therefore would be less interested,No change, ,Yes,No,No,No,No,No,Watch games via free TV or streaming,"Because it represents Milan, regardless of club",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,45.000€ to 49.999€ per year,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Other Serie A Fan,55+,"50,000€ +",Milan,Overall Interested,Watcher,1.004081633
891,7409976602,66,Male,North west,I watch basketball occasionally,No,No,Yes,No,No,No,Somewhat likely,Neither likely nor unlikely,I prefer a team that represents Milan as a city rather than one football club,Moderately increase my interest,Because it gives me a reason to care about basketball,Yes,No,Yes,No,No,No,Watch games via free TV or streaming,"Because it represents Milan, regardless of club",No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,60.000€ to 69.999€ per year,Milano,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Other Serie A Fan,55+,"50,000€ +",Milan,Overall Interested,Watcher,1.004081633
892,7409636858,39,Female,North east,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Somewhat likely, ,Moderately increase my interest,Because I trust and follow AC Milan,No,Yes,No,Yes,No,No,Watch games via paid TV or streaming service,Because it is affiliated with AC Milan,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,70.000€ to 99.999€ per year,Verona,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,AC Milan Fan,35-54,"50,000€ +",Rest of Italy,Unaware, ,0.920240964
893,7409986502,41,Female,North west,I generally do not follow basketball, , , , , , ,Somewhat unlikely,Somewhat unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,30.000€ to 34.999€ per year,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel positively towards AC Milan,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Other Serie A Fan,35-54,"25-49,999€",Milan,Unaware, ,0.993939394
894,7409438512,32,Male,South,Basketball is one of my top sports,Yes,No,No,No,No,No,Somewhat likely,Very unlikely,I support a different football club and therefore would be less interested,No change, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,20.000€ to 24.999€ per year,Bari,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,No,No,No,No,No,No,No,No,Yes,No,No,No,Inter Milan Fan,18-34,"0-24,999€",Rest of Italy,Overall Interested,Watcher,1.023529412
895,7409588006,45,Male,Unknown,I watch basketball occasionally,No,No,No,No,No,Yes,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,15.000€ to 19.999€ per year,Catania,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel positively towards AC Milan,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Inter Milan Fan,35-54,"0-24,999€",Rest of Italy,Overall Interested,Non Watcher,1.023529412
896,7410000766,44,Female,North west,I watch basketball occasionally,Yes,No,No,No,No,No,Somewhat likely,Somewhat likely, ,No change, ,Yes,Yes,No,No,No,No,Watch games via free TV or streaming,"Because it represents Milan, regardless of club",Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,100.000€ to 149.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",Yes,No,No,No,No,No,Yes,No,No,No,No,No,AC Milan Fan,35-54,"50,000€ +",Milan,Overall Interested,Watcher,0.920240964
897,7409999198,60,Male,North west,I watch basketball occasionally,No,Yes,Yes,No,No,No,Somewhat likely,Somewhat likely, ,Moderately increase my interest,Because it feels culturally relevant to Milan,No,No,Yes,Yes,No,No,Follow highlights and social media,Because it is Italy's team in the league,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,70.000€ to 99.999€ per year,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,No,No,No,No,No,No,No,No,Yes,No,Other Serie A Fan,55+,"50,000€ +",Milan,Overall Interested,Watcher,1.004081633
898,7409557728,63,Male,South,I watch basketball occasionally,No,Yes,Yes,No,No,No,Somewhat likely,Somewhat unlikely,I support a different football club and therefore would be less interested,No change, ,No,No,Yes,No,No,No,Follow highlights and social media,Because it is affiliated with AC Milan,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,10.000€ to 14.999€ per year,Taranto,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,AC Milan Fan,55+,"0-24,999€",Rest of Italy,Overall Interested,Watcher,1.056101695
899,7410004146,46,Male,North west,Basketball is one of my top sports,Yes,No,Yes,No,No,No,Somewhat likely,Somewhat likely, ,Moderately increase my interest, ,Yes,No,No,No,No,No,Watch games via free TV or streaming,"Because it represents Milan, regardless of club",Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,45.000€ to 49.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Other Serie A Fan,35-54,"50,000€ +",Milan,Overall Interested,Watcher,1.004081633
900,7409349894,70,Male,Unknown,I generally do not follow basketball, , , , , , ,Very likely,Very likely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,20.000€ to 24.999€ per year,Unknown,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Inter Milan Fan,55+,"0-24,999€",Rest of Italy,Unaware, ,1.023529412
901,7409636672,75,Male,South,"I follow basketball regularly, but it's secondary",No,Yes,Yes,No,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,Slightly increase my interest, ,No,Yes,No,No,No,No,Watch games via paid TV or streaming service,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,15.000€ to 19.999€ per year,Napoli,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Inter Milan Fan,55+,"0-24,999€",Rest of Italy,Overall Interested,Watcher,1.023529412
902,7409437560,36,Female,Centre,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,Slightly increase my interest,Because it gives me a reason to care about basketball,Yes,Yes,No,No,No,No,Watch games via paid TV or streaming service,Because it is affiliated with AC Milan,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,40.000€ to 44.999€ per year,Lucca,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,AC Milan Fan,35-54,"25-49,999€",Rest of Italy,Unaware, ,0.920240964
903,7409550846,43,Female,South,"I follow basketball regularly, but it's secondary",No,Yes,Yes,No,No,No,Neither likely nor unlikely,Somewhat likely, ,Moderately increase my interest, ,Yes,No,No,Yes,Yes,No,Watch games via free TV or streaming,Because it is affiliated with AC Milan,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,100.000€ to 149.999€ per year,Foggia,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,I feel positively towards AC Milan,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Inter Milan Fan,35-54,"50,000€ +",Rest of Italy,Overall Interested,Watcher,0.966666667
904,7409997210,47,Male,North west,I generally do not follow basketball, , , , , , ,Somewhat unlikely,Somewhat unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,50.000€ to 59.999€ per year,Torino,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Inter Milan Fan,35-54,"50,000€ +",Rest of Italy,Unaware, ,1.023529412
905,7410004534,44,Male,North west,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,Slightly increase my interest,Because it gives me a reason to care about basketball,Yes,Yes,No,No,No,No,Watch games via free TV or streaming,Because it is Italy's team in the league,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,40.000€ to 44.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",Yes,No,No,Yes,No,No,No,No,No,No,No,No,AC Milan Fan,35-54,"25-49,999€",Milan,Unaware, ,1.056101695
906,7409588018,27,Male,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,40.000€ to 44.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,No,No,No,No,No,No,No,No,No,No,Yes,No,Inter Milan Fan,18-34,"25-49,999€",Milan,Unaware, ,1.023529412
